timestamp,tz,checkpoint,version,raw26,site_code,user_code,nombre,autorizado,casco,score,img_path
2025-08-15T16:31:38,Europe/Madrid,SALA_MAQUINAS_A,7,23936659,182,40777,,0,0,0.00,
2025-08-15T16:31:42,Europe/Madrid,SALA_MAQUINAS_A,7,52992745,148,19828,Operario_A,1,0,0.76,/media/20250815T163142_52992745.jpg
2025-08-15T16:31:47,Europe/Madrid,SALA_MAQUINAS_A,7,52992745,148,19828,Operario_A,1,0,0.94,/media/20250815T163147_52992745.jpg
15-08-2025T17:30:07,Europe/Madrid,SALA_MAQUINAS_A,7,23936659,182,40777,,0,0,0.00,
15-08-2025T17:30:11,Europe/Madrid,SALA_MAQUINAS_A,7,39175078,42,57811,,0,0,0.00,
15-08-2025T17:30:16,Europe/Madrid,SALA_MAQUINAS_A,7,52992745,148,19828,Operario_A,1,0,0.76,/media/15082025T173016_52992745.jpg
15-08-2025T18:42:51,Europe/Madrid,SALA_MAQUINAS_A,7,39175078,42,57811,,0,0,0.00,
15-08-2025T18:42:58,Europe/Madrid,SALA_MAQUINAS_A,7,52992745,148,19828,Operario_A,1,0,0.80,/media/15082025T184258_52992745.jpg
16-08-2025T14:16:23,Europe/Madrid,SALA_MAQUINAS_A,7,23098353,176,14840,,0,0,0.00,
16-08-2025T14:24:38,Europe/Madrid,SALA_MAQUINAS_A,7,39175078,42,57811,,0,0,0.00,
16-08-2025T14:24:42,Europe/Madrid,SALA_MAQUINAS_A,7,23936659,182,40777,,0,0,0.00,
16-08-2025T14:24:45,Europe/Madrid,SALA_MAQUINAS_A,7,52992745,148,19828,Operario_A,1,0,0.95,/media/16082025T142445_52992745.jpg
16-08-2025T14:27:20,Europe/Madrid,SALA_MAQUINAS_A,7,23098353,176,14840,,0,0,0.00,
16-08-2025T14:27:27,Europe/Madrid,SALA_MAQUINAS_A,7,23098353,176,14840,,0,0,0.00,
16-08-2025T14:27:38,Europe/Madrid,SALA_MAQUINAS_A,7,23098353,176,14840,,0,0,0.00,
16-08-2025T14:31:14,Europe/Madrid,SALA_MAQUINAS_A,7,23098353,176,14840,,0,0,0.00,
16-08-2025T14:37:50,Europe/Madrid,SALA_MAQUINAS_A,7,39175078,42,57811,,0,0,0.00,
16-08-2025T14:44:53,Europe/Madrid,SALA_MAQUINAS_A,7,23098353,176,14840,,0,0,0.00,
16-08-2025T18:38:35,Europe/Madrid,SALA_MAQUINAS_A,7,23098353,176,14840,,0,0,0.00,
16-08-2025T18:38:42,Europe/Madrid,SALA_MAQUINAS_A,7,23098353,176,14840,,0,0,0.00,
16-08-2025T18:39:21,Europe/Madrid,SALA_MAQUINAS_A,7,52992745,148,19828,Operario_A,1,0,0.92,/media/16082025T183921_52992745.jpg
16-08-2025T18:39:28,Europe/Madrid,SALA_MAQUINAS_A,7,52992745,148,19828,Operario_A,1,1,0.77,/media/16082025T183928_52992745.jpg
16-08-2025T20:08:56,Europe/Madrid,SALA_MAQUINAS_A,7,52992745,148,19828,Operario_A,1,0,0.45,/media/16082025T200856_52992745.jpg
16-08-2025T20:09:03,Europe/Madrid,SALA_MAQUINAS_A,7,52992745,148,19828,Operario_A,1,0,0.75,/media/16082025T200903_52992745.jpg
16-08-2025T20:09:09,Europe/Madrid,SALA_MAQUINAS_A,7,39175078,42,57811,,0,0,0.00,
16-08-2025T20:13:04,Europe/Madrid,SALA_MAQUINAS_A,7,23936659,182,40777,,0,0,0.00,
16-08-2025T20:13:11,Europe/Madrid,SALA_MAQUINAS_A,7,23936659,182,40777,,0,0,0.00,
16-08-2025T20:13:41,Europe/Madrid,SALA_MAQUINAS_A,7,23098353,176,14840,,0,0,0.00,
16-08-2025T20:13:49,Europe/Madrid,SALA_MAQUINAS_A,7,39175078,42,57811,,0,0,0.00,
16-08-2025T20:14:03,Europe/Madrid,SALA_MAQUINAS_A,7,23936659,182,40777,,0,0,0.00,
16-08-2025T20:14:07,Europe/Madrid,SALA_MAQUINAS_A,7,52992745,148,19828,Operario_A,1,0,0.59,/media/16082025T201407_52992745.jpg
16-08-2025T20:14:12,Europe/Madrid,SALA_MAQUINAS_A,7,23098353,176,14840,,0,0,0.00,
15-08-2025T17:30:07,Europe/Madrid,SALA_MAQUINAS_A,7,39175078,42,57811,,0,0,0.00,
17-08-2025T09:22:30,Europe/Madrid,SALA_MAQUINAS_A,7,23098353,176,14840,,0,0,0.00,
